DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,8,Serangoon,Dhoby Ghaut,2140
WEEKDAY,8,Buangkok,Boon Keng,2136
WEEKDAY,8,Boon Keng,Chinatown,2130
WEEKDAY,18,Chinatown,Boon Keng,2125
WEEKDAY,10,Boon Keng,Farrer Park,2125
WEEKDAY,19,Kovan,Sengkang,2122
WEEKDAY,8,Punggol,Kovan,2120
WEEKDAY,17,Little India,Hougang,2119
WEEKDAY,19,Dhoby Ghaut,Punggol,2116
WEEKDAY,7,Sengkang,Kovan,2113
WEEKDAY,7,Hougang,Farrer Park,2108
WEEKDAY,17,Serangoon,Punggol,2105
WEEKDAY,18,Kovan,Punggol,2104
WEEKDAY,18,HarbourFront,Chinatown,2103
WEEKDAY,20,Dhoby Ghaut,Punggol,2096
WEEKDAY,8,Sengkang,Farrer Park,2093
WEEKDAY,19,Serangoon,Punggol,2093
WEEKDAY,20,Farrer Park,Boon Keng,2084
WEEKDAY,18,Sengkang,Serangoon,2084
WEEKDAY,10,Hougang,Chinatown,2078
WEEKDAY,19,Little India,Sengkang,2078
WEEKDAY,16,Hougang,Sengkang,2066
WEEKDAY,12,Outram Park,HarbourFront,2061
WEEKDAY,18,Chinatown,Farrer Park,2059
WEEKDAY,18,Serangoon,Kovan,2058
WEEKDAY,7,Punggol,Clarke Quay,2053
WEEKDAY,18,Farrer Park,Serangoon,2052
WEEKDAY,13,Buangkok,Sengkang,2051
WEEKDAY,7,Punggol,Dhoby Ghaut,2049
WEEKDAY,13,Hougang,Sengkang,2049
WEEKDAY,15,Boon Keng,Farrer Park,2048
WEEKDAY,8,Serangoon,Farrer Park,2045
WEEKDAY,18,Serangoon,Buangkok,2042
WEEKDAY,6,Sengkang,Serangoon,2042
WEEKDAY,18,Dhoby Ghaut,Boon Keng,2039
WEEKDAY,15,Sengkang,Hougang,2038
WEEKDAY,11,Outram Park,Chinatown,2034
WEEKDAY,17,Boon Keng,Punggol,2033
WEEKDAY,6,Hougang,Outram Park,2026
WEEKDAY,6,Sengkang,Punggol,2026
WEEKDAY,8,Boon Keng,Little India,2022
WEEKDAY,7,Boon Keng,Farrer Park,2022
WEEKDAY,17,Dhoby Ghaut,Punggol,2018
WEEKDAY,19,Sengkang,Buangkok,2014
WEEKDAY,17,HarbourFront,Sengkang,2013
WEEKDAY,9,Hougang,Clarke Quay,2010
WEEKDAY,16,Boon Keng,Farrer Park,2009
WEEKDAY,7,Hougang,Clarke Quay,2008
WEEKDAY,18,Sengkang,Buangkok,2007
WEEKDAY,7,Serangoon,Little India,2006
WEEKDAY,18,Boon Keng,Buangkok,2004
WEEKDAY,8,Kovan,Clarke Quay,1998
WEEKDAY,8,Punggol,Dhoby Ghaut,1997
WEEKDAY,21,Punggol,Hougang,1996
WEEKDAY,18,Sengkang,Kovan,1990
WEEKDAY,21,Farrer Park,Hougang,1988
WEEKDAY,17,Farrer Park,Boon Keng,1988
WEEKDAY,20,Chinatown,Hougang,1980
WEEKDAY,6,Sengkang,Hougang,1979
WEEKDAY,19,Farrer Park,Boon Keng,1965
WEEKDAY,14,Serangoon,Sengkang,1964
WEEKDAY,17,HarbourFront,Hougang,1960
WEEKDAY,18,Dhoby Ghaut,Farrer Park,1956
WEEKDAY,19,Clarke Quay,Hougang,1955
WEEKDAY,8,Buangkok,Chinatown,1948
WEEKDAY,22,Dhoby Ghaut,Hougang,1947
WEEKDAY,7,Hougang,Sengkang,1940
WEEKDAY,16,Sengkang,Hougang,1939
WEEKDAY,21,Serangoon,Hougang,1939
WEEKDAY,17,Little India,Serangoon,1934
WEEKDAY,8,Buangkok,Little India,1934
WEEKDAY,18,Chinatown,Kovan,1929
WEEKDAY,19,Clarke Quay,Serangoon,1927
WEEKDAY,12,Chinatown,Outram Park,1925
WEEKDAY,8,Serangoon,Potong Pasir,1925
WEEKDAY,8,Punggol,HarbourFront,1921
WEEKDAY,9,Serangoon,Clarke Quay,1913
WEEKDAY,17,Serangoon,Hougang,1912
WEEKDAY,14,Sengkang,Hougang,1909
WEEKDAY,6,Hougang,Boon Keng,1908
WEEKDAY,16,Kovan,Sengkang,1900
WEEKDAY,18,Serangoon,Potong Pasir,1892
WEEKDAY,7,Buangkok,Little India,1890
WEEKDAY,7,Buangkok,Potong Pasir,1884
WEEKDAY,9,Sengkang,Chinatown,1884
WEEKDAY,19,Little India,Hougang,1882
WEEKDAY,18,Boon Keng,Kovan,1875
WEEKDAY,8,Buangkok,Potong Pasir,1870
WEEKDAY,21,Dhoby Ghaut,Punggol,1870
WEEKDAY,15,Serangoon,Punggol,1867
WEEKDAY,17,Potong Pasir,Punggol,1863
WEEKDAY,19,Serangoon,Kovan,1862
WEEKDAY,19,Serangoon,Buangkok,1860
WEEKDAY,19,Boon Keng,Punggol,1860
WEEKDAY,7,Sengkang,Clarke Quay,1854
WEEKDAY,12,Hougang,Punggol,1849
WEEKDAY,7,Serangoon,Dhoby Ghaut,1848
WEEKDAY,7,Sengkang,Woodleigh,1844
WEEKDAY,18,Farrer Park,Hougang,1843
WEEKDAY,12,Little India,Chinatown,1843
WEEKDAY,18,Farrer Park,Sengkang,1840
WEEKDAY,8,Boon Keng,Clarke Quay,1839
WEEKDAY,18,HarbourFront,Farrer Park,1836
WEEKDAY,9,Hougang,Little India,1835
WEEKDAY,18,Kovan,Serangoon,1832
WEEKDAY,16,Serangoon,Punggol,1829
WEEKDAY,16,Punggol,Hougang,1827
WEEKDAY,8,Sengkang,Serangoon,1824
WEEKDAY,18,Outram Park,Dhoby Ghaut,1823
WEEKDAY,6,Sengkang,Potong Pasir,1820
WEEKDAY,20,Serangoon,Punggol,1817
WEEKDAY,6,Sengkang,Outram Park,1817
WEEKDAY,17,Sengkang,Serangoon,1816
WEEKDAY,19,Little India,Serangoon,1814
WEEKDAY,15,Punggol,Hougang,1810
WEEKDAY,6,Hougang,HarbourFront,1808
WEEKDAY,20,Hougang,Punggol,1807
WEEKDAY,18,Outram Park,Farrer Park,1805
WEEKDAY,9,Sengkang,Kovan,1802
WEEKDAY,10,Boon Keng,Chinatown,1802
WEEKDAY,19,Chinatown,Boon Keng,1801
